Page,ETS(clicks)
Alexis_Bledel_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Alexis_Bledel_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,A)>"
Alexis_Ohanian_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Alexis_Texas_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,A)>"
Alia_Bhatt_en.wikipedia.org_mobile-web_all-agents,"<ETS(A,N,N)>"
Alice_in_Wonderland_(2010_film)_en.wikipedia.org_all-access_all-agents,"<ETS(A,N,N)>"
Alice_Through_the_Looking_Glass_(film)_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Alicia_Keys_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Alicia_Keys_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,A)>"
Alicia_Vikander_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,A)>"
Alicia_Vikander_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,A)>"
Alison_Brie_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Alistair_Overeem_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Allen_Iverson_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,M)>"
Allison_Williams_(actress)_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Allu_Arjun_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,A)>"
Alternative_für_Deutschland_de.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Aluminium_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Álvaro_Morata_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Amal_Clooney_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Amal_Clooney_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Amanda_Knox_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Amanda_Nunes_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Amanda_Seyfried_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Amazon.com_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Amazon.com_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Amber_Heard_en.wikipedia.org_desktop_all-agents,"<ETS(M,A,M)>"
Amber_Heard_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
